clinic_name,specialty,city,province,phone,website,email,notes
Dr. Sarah Chen'S Clinic,Family Medicine,Toronto,ON,4165550123,https://www.drchen.ca,info@drchen.ca,Accepts new patients
Riverside Medical Centre,Pediatrics,Ottawa,ON,6135559876,http://riversidemedical.com,contact@riversidemedical.com,Booth #234
Thompson Chiropractic Clinic,Chiropractic,Vancouver,BC,6045554321,https://thompsonchiro.ca,dr.thompson@thompsonchiro.ca,
Healthy Smiles Dental,Dentistry,Calgary,AB,,https://healthysmiles.dental,appointments@healthysmiles.dental,PERMANENTLY CLOSED
Healthysmiles Dental Clinic,Dental,Calgary,AB,4035557890,http://www.healthysmiles.dental,info@healthysmiles.dental,
North York Physiotherapy,Physiotherapy,North York,ON,4165553344,https://www.nyphysio.com,contact@nyphysio.com,
Martinez Dermatology Clinic,Dermatology,Montreal,QC,5145556677,https://martinez-derm.ca,dr.martinez@martinez-derm.ca,
West Side Mental Health,Psychiatric Care,Victoria,BC,2505551122,http://westsidemh.com,intake@westsidemh.com,
Oakville Sports Medicine,Sports Med,Oakville,ON,9055558899,https://oakvillesportsmedicine.ca,info@oakvillesportsmedicine.ca,
Summit Orthopedic Centre,Orthopedics,Edmonton,AB,7805552233,https://summit-ortho.com,referrals@summit-ortho.com,
Halifax Women'S Health Collective,Obstetrics & Gynecology,Halifax,NS,9025553366,https://halifaxwomenshealth.ca,info@halifaxwomenshealth.ca,
Burnaby Naturopathic Clinic,Naturopathy,Burnaby,BC,6045557788,,dr.lee@burnaby-naturo.com,
Kingston Cardiology Associates,Cardiology,Kingston,ON,6135559900,https://kingstonheart.ca,referrals@kingstonheart.ca,
Winnipeg Allergy & Asthma Centre,Allergy/Immunology,Winnipeg,MB,2045551133,https://winnipeg-allergy.com,bookings@winnipeg-allergy.com,
St. John'S Foot Clinic,Podiatry,St. John'S,NL,7095556644,https://stjohnsfootclinic.ca,foot-care@stjohnsfootclinic.ca,
Saskatoon Acupuncture & Tcm,Traditional Chinese Medicine,Saskatoon,SK,3065558877,https://saskatoon-acupuncture.ca,info@saskatoon-acupuncture.ca,Herbs available
Central Toronto Wellness,Multiple,Toronto,ON,4165559999,https://website under construction,wellness@central-to.ca,
Dr. Patel & Associates,Internal Medicine,Brampton,ON,9055553322,https://patel-internalmedicine.ca,dr.patel@patel-internalmedicine.ca,
