clinic_name,specialty,city,province,phone,website,email,notes
"Quebec City Medical Group",Family Medicine,Québec City,QC,418-555-7766,www.qcmedical.ca,contact@qcmedical.ca,Bilingual services
"Québec City Medical",Family Practice,quebec city,Quebec,418.555.7766,qcmedical.ca,,French & English
"Dr. O'Brien's Clinic",General Practice,St. John's,NL,,obrien-clinic.ca,dr.obrien@obrien-clinic.ca,No phone listed
"",Massage Therapy,,,4165550000,,,Missing clinic name and location
"Duplicate Phone Test 1",Cardiology,Calgary,Alberta,519-555-1234,london-cardio-1.ca,info1@londoncardio.ca,
"Duplicate Phone Test 2",Neurology,London,Ontario,519 555-1234,london-neuro.ca,info2@londonneuro.ca,Same phone as above
"Special Char's Clinic!",Urgent Care,Vancouver,British Columbia,+1 (519) 555-9999,special-clinic.ca,info@special-clinic.ca,"Apostrophe, exclamation"
,,,,,,,
"Bad Email Example",ENT,HAMILTON,ON,905-555-7777,bademail.ca,bad email remove,BAD EMAIL
"lowercase clinic",oncology,guelph,on,519-555-6666,lowercase.ca,info@lowercase.ca,all lowercase
"The Clinic (Formerly Known As...)",Rheumatology,Windsor,ON,519-555-5555,the-clinic.ca,admin@the-clinic.ca,Name change
"Clinic with | Pipe",Urology,Sarnia,ON,519-555-4444,pipe-clinic.ca,info@pipe-clinic.ca,Special character test
"Very Long Clinic Name That Goes On And On And Includes Many Words To Test Character Limits",General Surgery,Sudbury,ON,705-555-3333,very-long-name-clinic.ca,contact@very-long-name-clinic.ca,Length test
"123 Numeric Start Clinic",Walk-in,Barrie,ON,705-555-2222,123clinic.ca,info@123clinic.ca,Starts with numbers
"Clinic, The",Family Medicine,Thunder Bay,ON,807-555-1111,theclinic.ca,contact@theclinic.ca,Comma in name
"Multi-Line
Clinic",Psychology,Sault Ste. Marie,ON,705-555-0000,multiline.ca,info@multiline.ca,Line break test
"Email-Only-Clinic",,Charlottetown,PE,,no-website.com,email-only@clinic.ca,No phone or specialty
"Dr. Smith & Dr. Jones & Partners",Family Medicine,Fredericton,NB,506-555-9988,smith-jones.ca,partners@smith-jones.ca,Multiple doctors
"24/7 Emergency Clinic",Emergency Medicine,Moncton,NB,506-555-8877,emergency247.ca,urgent@emergency247.ca,Always open
"Dr. Nguyen-Tremblay",Endocrinology,Gatineau,QC,819-555-7766,nguyen-tremblay.ca,dr.nt@nguyen-tremblay.ca,Hyphenated name
"100% Natural Health",Homeopathy,Kelowna,BC,250-555-6655,100natural.ca,info@100natural.ca,Percentage in name
"Clinic@Downtown",Primary Care,Prince George,BC,250-555-5544,clinic-downtown.ca,info@clinic-downtown.ca,@ symbol in name
"The 'Best' Clinic",General Medicine,Kamloops,BC,250-555-4433,best-clinic.ca,quotes@best-clinic.ca,Quotes in name
"",,,,,,,Completely empty row
"Future Phone Format",(555) 123-4567,Whitehorse,YT,867-555-3322,future-clinic.ca,info@future-clinic.ca,Specialty in phone field
"Yellowknife Health",,Yellowknife,NT,867-555-2211,,,Missing specialty and contact info
"Iqaluit Medical Centre",Multiple Specialties,Iqaluit,NU,867-555-1100,iqaluit-medical.ca,contact@iqaluit-medical.ca,Northern territory
"Clinic-Dash-Name",Pain Management,Red Deer,AB,403-555-9988,clinic-dash.ca,info@clinic-dash.ca,Dashes throughout
"Dr.'s Clinic",Gastroenterology,Medicine Hat,AB,403-555-8877,drs-clinic.ca,multiple@drs-clinic.ca,Possessive apostrophe
"Saint John Medical",Vascular Surgery,Saint John,NB,506-555-7766,saint-john-med.ca,info@stjohn-med.ca,Saint vs St
"St-Jean Medical",Neurosurgery,St-Jean-sur-Richelieu,QC,450-555-6655,stjean-med.ca,info@stjean-med.ca,Hyphenated city
